fecha,precio
01-2010,1.58358
01-2011,1.7160190476190476
01-2012,1.8919421052631578
01-2013,3.950433333333333
01-2014,12.580365
01-2015,14.139695
01-2016,13.449895238095237
01-2017,18.10413
01-2018,22.42084210526316
01-2019,19.709061904761906
01-2020,59.03746666666666
01-2021,277.84
01-2022,297.4399952380952
01-2023,172.874
01-2024,199.18066666666667
02-2010,1.53042
02-2011,1.6583333333333334
02-2012,2.18426
02-2013,4.060616666666666
02-2014,14.818126315789474
02-2015,14.51706
02-2016,12.545172222222222
02-2017,18.77808333333333
02-2018,22.061185000000002
02-2019,19.341483333333333
02-2020,72.724235
02-2021,259.17726470588235
02-2022,276.4250055555556
02-2023,206.48166666666668
02-2024,197.13666666666668
03-2010,1.6043
03-2011,1.6382772727272725
03-2012,2.2866045454545456
03-2013,4.221915
03-2014,14.98331304347826
03-2015,13.791585000000001
03-2016,14.673065
03-2017,18.426770833333332
03-2018,20.51839
03-2019,17.842119047619047
03-2020,54.91927272727273
03-2021,237.59999523809523
03-2022,307.96394545454547
03-2023,195.48166666666668
03-2024,176.62357142857144
04-2010,1.4921999999999997
04-2011,1.741025
04-2012,2.131752631578947
04-2013,4.772133333333334
04-2014,14.27607
04-2015,14.842036363636362
04-2016,15.75102380952381
04-2017,20.459917647058823
04-2018,19.672821052631576
04-2019,17.708005
04-2020,67.50553636363637
04-2021,247.27272727272728
04-2022,314.01599500000003
04-2023,181.6888888888889
04-2024,199.06000000000003
05-2010,1.4668666666666665
05-2011,1.8507421052631579
05-2012,2.011090909090909
05-2013,6.595334782608695
05-2014,14.047338095238095
05-2015,16.09564
05-2016,14.282055
05-2017,21.061775
05-2018,19.55342272727273
05-2019,15.304030434782609
05-2020,65.5158947368421
05-2021,223.30284
05-2022,252.84789473684208
05-2023,196.26500000000001
05-2024,191.0475
06-2010,1.4910166666666669
06-2011,1.8493499999999998
06-2012,2.078890909090909
06-2013,6.8884
06-2014,15.043575
06-2015,16.516890476190476
06-2016,14.110472727272729
06-2017,22.880904166666667
06-2018,22.596145454545454
06-2019,16.103
06-2020,70.61943333333333
06-2021,227.089835
06-2022,244.68349523809525
06-2023,239.5417391304348
06-2024,180.82
07-2010,1.3854388888888889
07-2011,1.866608695652174
07-2012,2.0732
07-2013,7.43782380952381
07-2014,14.714265217391306
07-2015,17.032940909090907
07-2016,14.70185
07-2017,21.533636363636365
07-2018,21.12992380952381
07-2019,17.165052380952382
07-2020,96.95376521739131
07-2021,230.19333636363635
07-2022,260.8613043478261
07-2023,256.9871428571428
07-2024,183.115
08-2010,1.3595555555555556
08-2011,1.684759090909091
08-2012,1.9890045454545453
08-2013,8.571760869565217
08-2014,16.370180952380952
08-2015,15.87807619047619
08-2016,14.334921739130435
08-2017,22.538663636363637
08-2018,21.426695652173915
08-2019,16.169339130434782
08-2020,118.30313809523808
08-2021,248.33869565217393
08-2022,281.1903
08-2023,230.36636363636364
08-2024,194.58249999999998
09-2010,1.421236842105263
09-2011,1.7178772727272729
09-2012,2.0213238095238095
09-2013,10.128449999999999
09-2014,15.868865
09-2015,16.231560869565218
09-2016,13.50060909090909
09-2017,22.60504761904762
09-2018,20.30320952380952
09-2019,16.719835
09-2020,123.0392
09-2021,254.88028695652176
09-2022,277.4227272727273
09-2023,236.68047619047618
09-2024,201.8033333333333
10-2010,1.453135294117647
10-2011,1.8487809523809522
10-2012,1.941235
10-2013,9.90099090909091
10-2014,15.099659999999998
10-2015,14.707708695652174
10-2016,13.299635
10-2017,21.599277272727274
10-2018,20.169195238095238
10-2019,18.486131818181818
10-2020,123.96458695652174
10-2021,291.9326904761905
10-2022,237.62230476190476
10-2023,214.65454545454543
10-2024,202.85
11-2010,2.0258857142857143
11-2011,2.0123285714285712
11-2012,2.117252380952381
11-2013,7.637077272727273
11-2014,16.02019
11-2015,14.901905263157893
11-2016,13.099842857142857
11-2017,21.149938095238095
11-2018,22.124857142857145
11-2019,21.18679090909091
11-2020,137.74693684210527
11-2021,320.1570210526316
11-2022,219.4258761904762
11-2023,231.2461904761905
11-2024,193.1966666666667
12-2010,1.8336277777777776
12-2011,1.8498666666666668
12-2012,2.1917714285714287
12-2013,8.66797619047619
12-2014,14.76492
12-2015,15.121680952380952
12-2016,13.830818181818183
12-2017,21.770165
12-2018,21.813845454545454
12-2019,23.372004761904762
12-2020,172.57247
12-2021,303.8943434782609
12-2022,187.10333333333332
12-2023,239.2145
12-2024,194.85333333333332
